tier,BZ_id,BZ_title,TMI_id,TMI_title,title_sim,doc_sim,shared
B,L122A,Stitching up cracks in the earth,A857,Steadying The Earth,0.507,0.372,1
B,B104,Chicken turns into tortoise,A1988,Creation Of Chicken,0.507,0.357,1
B,B42O,Broken back constellation,A777,Origin Of Constellation Scorpio,0.506,0.366,1
B,B42O,Broken back constellation,A779.2,Origin Of Constellation Aquila,0.506,0.366,1
B,B42O,Broken back constellation,A776,Origin Of Constellation Lyra,0.506,0.366,1
B,I74,Stars are stones,V1.4.4,Worship Of Stars,0.506,0.396,1
B,I112,The alive boat,A757,Moon-Boat,0.506,0.392,1
B,I48A,Falling down into the underworld,A305,Demigod Of Underworld,0.506,0.399,1
B,I51B,The earth is an animal,F949.1,Animal Sinks Into Earth,0.506,0.397,1
B,B111,Bees emerge from the bull,B297.0.1,Bull Lows Musically,0.506,0.357,1
B,F51B,Following the thread,D454.4.1,Transformation: Thread To Other Object,0.506,0.353,1
B,L108b2,Ants make the voice thin,A2522.3,Why White Ants Are A Pest,0.506,0.352,1
B,N28A1,Belt of mountains,A418.1,Angel Of Mountains,0.505,0.403,1
B,N12,Cloak of beards,D1610.26.1,Speaking Cloak,0.505,0.380,1
B,L41a1,The broken cauldron,W151.0.1,Cauldron Of Greed,0.505,0.410,1
B,I96,Bloody rainbow,E644,Reincarnation As Rainbow,0.505,0.457,1
B,K27n3a1,Hero’s rivals are the elements,F531.6.5.4,Giants As Controllers Of The Elements,0.505,0.379,1
B,B102A,Clouds are cows,A2326.3.1,Why Cows Have Two Horns,0.505,0.390,1
B,I7,The cloud serpent,F967.4,Thin Cloud In Form Of Rainbow,0.505,0.364,1
B,B38C,Raven and loon paint each other,A2411.2.6.1,Color Of Loon,0.505,0.436,1
B,J61,As light as a feather,D275,Transformation: Man To Feather,0.505,0.360,1
B,M150,The deceitful herdsman`,K2255,Treacherous Herdsman,0.504,0.441,1
B,I74,Stars are stones,D1761.1,Wishing By Stars,0.504,0.398,1
B,K133,Foam-flecked horse,T546.1,Birth From Sea-Foam,0.504,0.357,1
B,B38E,Tail base of the loon,A2411.2.6.1,Color Of Loon,0.504,0.385,1
B,A32C,A man and a dog in the Moon,B25.1,Man With Dog's Head,0.503,0.357,1
B,B33D,The old woman of winter,H1149.3,Task: Defeating A Certain Old Woman,0.503,0.352,1
B,H36gg,Death and the coyote,A2335.4.4,Why Coyote Has Long Muzzle,0.503,0.351,1
B,I41A,Rainbow from anthill or termite nest,B481.2,Helpful Termite,0.503,0.405,1
B,D4C,Acquisition of summer,A1428,Acquisition Of Wine,0.503,0.411,1
B,A32I,A shepherd in the moon,A1461.6,Origin Of Shepherd's Pipe,0.503,0.365,1
B,F84,Prolonged celibacy imitated,A1556.2,Origin Of Celibacy,0.503,0.435,1
B,I47,Rainbow is filth,G306,Rainbow As Ogre,0.502,0.361,1
B,K33a1a,The heroine in the belly of a whale,A2135,Origin Of Whale,0.502,0.354,1
B,K99a2,The sold dream,F471,Dream Demons,0.502,0.359,1
