tier,ATU_id,ATU_title,TMI_id,TMI_title,title_sim,doc_sim,shared
B,1390*,The Dish he Hates,E633,Reincarnation As Dish,0.537,0.358,1
B,80,The Hedgehog in the Badger's Den,B433.2,Helpful Badger,0.535,0.364,1
B,1208*,The Belled Salmon,A2125,Origin Of Salmon,0.534,0.388,1
B,750E*,Hospitality and Sin,U230,The Nature Of Sin,0.534,0.376,1
B,1861,Anecdotes about Judges,P421.1,Jackals As Judges,0.534,0.398,1
B,112**,The Mice and the Rooster,B221.5,Land Of Mice,0.529,0.368,1
B,1641B*,Who Stole from the Church,P120,Church Dignitaries,0.527,0.361,1
B,168A,The Old Woman and the Wolf Fall into the Pit Together,R39.2,Abduction By Old Woman,0.526,0.371,1
B,767,Food for the Crucifix,G303.3.2.1.1,Devil As Crucifix,0.525,0.365,1
B,275C*,The Race of Frog and Snail,A2411.5.3,Color Of Snail,0.525,0.378,1
B,750E*,Hospitality and Sin,P320.2,Hospitality For (Three) Years,0.525,0.373,1
B,1354D*,Fertile Weather,A1135,Origin Of Wintry Weather,0.524,0.363,1
B,1950A,Help in Idleness,J2243,Fool Sleeps So As To Avoid Idleness,0.524,0.389,1
B,1200A,Sowing the Seed in One Place,A1425,Origin Of Seed,0.523,0.445,1
B,1894,A Man Shoots a Ramrod Full of Ducks,G303.25.7,Man Shoots The Devil With A Silver Gun,0.522,0.412,1
B,186,The Monkey and the Nut,F813.3.2,Gigantic Nut,0.520,0.353,1
B,1230*,The Pilgrimage Vow,V535,Pilgrimage To Jerusalem,0.520,0.356,1
B,168A,The Old Woman and the Wolf Fall into the Pit Together,M301.2,Old Woman As Prophet,0.518,0.366,1
B,1208*,The Belled Salmon,B874.4,Giant Salmon,0.518,0.380,1
B,920E,The Three Rings,K476.4,False Set Of Rings To Offset Genuine,0.517,0.377,1
B,150A*,The Frog's Counsels,J163.4,Good Counsels Bought,0.515,0.384,1
B,178,The Faithful Animal Rashly Killed,B301.3,Faithful Animal Plans Suicide When It Thinks Master Dead,0.515,0.383,1
B,214A,Singing Donkey and Dancing Camel,A2356.2.13,Why Camel Has Humped Back,0.514,0.351,1
B,112**,The Mice and the Rooster,X1226,Lies About Mice,0.513,0.359,1
B,182,The Helpful Animal and the Snake,B312.4,Helpful Animal Purchased,0.511,0.380,1
B,182,The Helpful Animal and the Snake,D659.4,Transformation To Act As Helpful Animal,0.511,0.354,1
B,2204,The Dog's Cigar,D1364.19,Cigar Causes Magic Sleep,0.510,0.366,1
B,804C,Unsuitable for Hell,A671.2.10,Griffins In Hell,0.510,0.414,1
B,804C,Unsuitable for Hell,A671.3,Frigidity Of Hell,0.510,0.414,1
B,1701,Echo Answers,A1195,Origin Of Echo,0.509,0.411,1
B,293D*,The Hops and the Turnips Quarrel,A2441.2.1,Why Raven Hops,0.509,0.444,1
B,1897,The Pike Caught by the Fox,D179.2,Transformation: Man To Pike,0.507,0.366,1
B,1804C,Poem for Poem,P427.7.8,Poet Rewarded For Poem,0.506,0.487,1
B,231**,The Falcon and the Doves,B291.1.4,Falcon As Messenger,0.506,0.367,1
B,1804**,Tales about Payment for Absolution,P537,Payment Of Stipend,0.505,0.374,1
B,238,The Dove and the Frog Boast to Each Other,A2412.5.2.1,Why Frog Is Spotty All Over,0.503,0.394,1
B,1208*,The Belled Salmon,B474,Helpful Salmon,0.501,0.365,1
